단어,개수,label
열린,109,1
셀트리온,891,0
최종,51,1
우승을,6,1
대회에서는,6,0
앞두고,58,0
경기가,7,1
모두가,7,0
상황,14,0
이상의,46,1
점차,6,1
이번,184,0
주목,6,1
받았다,36,1
불구하고,15,-1
때문이다,41,0
일반,13,1
보다,51,1
낮게,7,-1
최소,8,-1
수분,9,1
일,83,1
충분히,20,1
없이,34,-1
마지막,17,-1
진행할,63,1
건강한,25,1
제공하는,11,1
것을,67,1
목표로,60,1
도입해,11,1
깊이,14,1
진행하고,99,1
있다고,58,1
위를,46,1
받은,39,1
기자,132,0
회장이,169,1
위기를,24,-1
기회로,20,1
오히려,14,1
됐다,43,1
복귀,84,1
당시,55,0
달리,21,-1
지난,393,-1
주가,111,1
상승,50,1
대신,10,1
논란,9,-1
따르면,244,0
주가는,59,1
여전히,24,-1
있다,984,0
이날,143,0
종가,7,0
기준,238,0
주가가,59,0
이후,162,0
못하고,10,-1
만에,111,0
다시,94,1
경영에,57,1
회장,114,0
글로벌,1032,1
실제,30,0
매출로,6,0
못한,9,-1
상황이다,12,-1
일,9,1
그룹주가,8,1
일제히,16,0
미국,779,1
보험,20,0
등재가,12,1
전망이,18,1
추가,48,1
등재를,8,1
여기에,17,1
키움증권,12,1
경쟁,36,0
신제품,14,1
인한,19,1
미국시장,19,1
주가에,24,1
실적,82,1
등재,34,1
소식이,17,1
구체적인,17,1
성과,7,1
경영,258,1
하기,15,1
혐의로,22,-1
않다,8,-1
현재,190,0
현지에서,10,1
적극,68,1
영업,19,1
관계자는,356,0
이외,6,-1
우수한,29,1
저평가,6,-1
문제를,8,-1
취지로,9,1
작년,67,0
시장에서,151,0
대형,26,1
문제가,14,-1
지속적으로,40,-1
높여,8,1
시가총액,7,0
재무실적,7,1
기업,168,0
매출,298,0
영업이익,65,1
추종하는,8,1
국내,253,0
가장,99,1
큰,160,1
비중을,23,0
기대하고,66,1
차세대,57,1
집중적으로,8,1
장기,10,1
투자하고,13,1
소수,16,-1
기업의,31,0
투자,69,1
경쟁을,7,-1
특허가,29,1
조억원의,10,1
매출을,119,1
기록한,31,1
달한다,37,1
누적,21,0
매출액은,46,0
출시된,36,1
수요가,19,1
성공하면,6,1
연속,32,0
하락했다,18,-1
투자자들의,15,0
낙폭을,7,-1
하락한,18,-1
마감했다,35,0
했지만,18,-1
상승했다,12,1
내렸다,6,-1
이밖에,6,-1
약세를,8,-1
시총,10,1
흐름이,10,0
올랐다,23,1
반면,28,-1
이외에도,12,-1
하락,33,-1
인상,7,0
이상,62,0
기대감이,19,1
반영된,14,0
일부,61,0
상승하며,7,1
환율은,6,0
부분,6,0
다소,8,0
전장보다,11,0
떨어진,11,-1
우려,6,-1
따라,180,0
집계됐다,7,1
소폭,11,0
순매수했다,6,1
가능성을,21,1
흐름을,7,1
보였다,26,0
변동,8,-1
않고,67,-1
우려가,12,-1
계속,29,0
불안,10,-1
설명했다,87,0
초반,10,0
등으로,70,0
투자할,24,1
환경이,8,0
평가했다,11,0
주목을,12,1
개발,383,1
없어,13,-1
물론,8,0
효과를,44,1
확보했다,8,1
향후,125,1
않기로,20,-1
가능성이,36,1
영향은,14,0
크지,10,-1
않을,15,-1
않아,19,-1
없을,14,-1
상장한다고,9,1
비해서도,6,-1
낮은,29,-1
퇴직연금,6,-1
정부가,14,1
육성하는,6,1
산업의,14,1
높은,96,1
비중으로,6,0
선보인,13,1
물론,67,0
초과하는,6,0
수익률,7,1
성과를,69,1
기록하고,26,0
좋은,50,1
선택이,6,0
기술력을,7,1
투자한다,21,1
반도체와,6,1
인공지능,6,1
성장으로,10,1
규모가,25,1
확대되며,13,1
급성장했다,6,1
증가하며,15,1
돌파했다,16,1
없는,48,-1
성과가,17,0
증가했다,18,1
조정이,19,-1
